QUERY,PRICE_TYPE,TIME_PERIOD,INTENT
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
What was Apple's open price yesterday?,open,1d,price_inquiry
What is the low price of Microsoft for 2 days ago?,low,2d,price_inquiry
What was Facebook's low price last month?,low,1mo,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was Tesla's high price last month?,high,1mo,price_inquiry
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
What was Microsoft's close price 3 months ago?,close,3mo,price_inquiry
What is the high price of Microsoft for last month?,high,1mo,price_inquiry
Tell me the low price of Microsoft last year.,low,1y,price_inquiry
What was Apple's high price 3 months ago?,high,3mo,price_inquiry
Tell me the volume price of Microsoft 3 months ago.,volume,3mo,price_inquiry
Tell me the low price of Apple last month.,low,1mo,price_inquiry
What is the low price of Microsoft for 3 months ago?,low,3mo,price_inquiry
What was Tesla's close price 3 months ago?,close,3mo,price_inquiry
What was Facebook's high price 6 months ago?,high,6mo,price_inquiry
What was Google's high price today?,high,1d,price_inquiry
What was Facebook's low price 5 days ago?,low,5d,price_inquiry
What is the close price of Microsoft for 3 months ago?,close,3mo,price_inquiry
What is the volume price of Apple for 5 days ago?,volume,5d,price_inquiry
What was Tesla's high price last month?,high,1mo,price_inquiry
What was Tesla's close price today?,close,1d,price_inquiry
What is the close price of Google for 6 months ago?,close,6mo,price_inquiry
What is the low price of Tesla for 3 months ago?,low,3mo,price_inquiry
Tell me the high price of Google 2 days ago.,high,2d,price_inquiry
What was Microsoft's close price 3 months ago?,close,3mo,price_inquiry
What was Tesla's current price 6 months ago?,current,6mo,price_inquiry
What was Microsoft's high price 5 days ago?,high,5d,price_inquiry
What is the volume price of Facebook for 6 months ago?,volume,6mo,price_inquiry
What was Amazon's low price 5 days ago?,low,5d,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What was Google's close price last year?,close,1y,price_inquiry
What was Tesla's close price yesterday?,close,1d,price_inquiry
What was Amazon's close price 6 months ago?,close,6mo,price_inquiry
What is the close price of Microsoft for today?,close,1d,price_inquiry
What is the low price of Microsoft for last year?,low,1y,price_inquiry
Tell me the high price of Apple 6 months ago.,high,6mo,price_inquiry
What is the volume price of Amazon for 2 days ago?,volume,2d,price_inquiry
Tell me the volume price of Amazon yesterday.,volume,1d,price_inquiry
What was Tesla's close price yesterday?,close,1d,price_inquiry
What was Tesla's high price last month?,high,1mo,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
